sku,unit_cogs,product_name
VV-VITA-49,6.7,"UMGEBUCHT - Eisen Bisglycinat, 120 Kapseln"
VV-VITA-360,4.36,"Nachfolgeprodukt - Koffein, 120 Kapseln"
VV-VITA-370,5.01,"Nachfolgeprodukt - Magnesium Bisglycinat, 180 Kapseln"
VV-VITA-136,7.26,"UMGEBUCHT - Light Legs Complex, 120 Kapseln"
VV-VITA-63,4.22,"Nachfolgeprodukt - Cordyceps Extrakt, 120 Kapseln"
VV-VITA-390,10.32,L-Citrullin Malat Pulver 500g
VV-VITA-391,7.64,Quercetin Komplex 120K
VV-VITA-203,5.67,"Nachfolgeprodukt - Gaba Plus, 120 Kapseln"
VV-VITA-215,5.99,"Nachfolgeprodukt - Ackerschachtelhalm BIO, 90 Kapseln"
VV-VITA-222,6.56,"Nachfolgeprodukt - Schwarzkümmelöl BIO, 180 Kapseln"
VV-VITA-320,6.12,"UMGEBUCHT - Vegan Collagen+Hyaluronic Acid, 120 Kapseln"
NX-CVPF-VCEZ,9.08,"UMGEBUCHT - Reishi Extrakt, 120 Kapseln"
VV-VITA-143,9.24,"UMGEBUCHT - Vitamin B12 PLUS, 180 Kapseln"
VV-VITA-198,6.92,"Nachfolgeprodukt - Bromelain 2500 GDU/g, 120 Kapseln"
VV-VITA-105,5.16,"UMGEBUCHT Panax ginseng Extrakt, 120 Kapseln"
VV-VITA-119,5.01,"Nachfolgeprodukt - Magnesium + Kalium, 180 Kapseln"
VV-VITA-230,8.89,"UMGEBUCHT - Berberin + Schwarzer Knoblauch, 90 Kapseln"
VV-VITA-346,3.18,"UMGEBUCHT Chrom Plus, 90 Kapseln"
VV-VITA-231,7.05,"UMGEBUCHT - Myo-Inositol Complex, 120 Kapseln"
NX-CVPF-VCEZ,9.21,"Nachfolgeprodukt - Reishi Extrakt, 120 Kapseln"
VV-VITA-222,7.55,"NACHFOLGER Schwarzkümmelöl BIO, 180 Kapseln"
VV-VITA-336,5.07,"UMGEBUCHT - Teufelskralle BIO, 90 Kapseln"
VV-VITA-121,7.33,"UMGEBUCHT Female Harmony Complex, 120 Kapseln"
VV-VITA-392,4.36,GABA 90K
VV-VITA-393,7.28,BCAA Pulver 450g
VV-VITA-394,7.07,EAA Pulver Essentielle Aminosäuren 400g
VV-VITA-395,6.22,Zink 300K
VV-VITA-63,4.22,"UMGEBUCHT-2 - Cordyceps Extrakt, 120 Kapseln"
VV-VITA-94,9.77,"UMGEBUCHT - Probio Flora, 60 Kapseln"
