campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Oregano ?l BIO;658280076;1.4.2026;cpc;0,51;;56;2;3,571429;0;1,02;0;0;upmYCXAL7;4260557421932;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334350;1.4.2026;cpc;0,81;;56;0;0;0;0;0;0;upmK3CG99;4260557422656;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Pulver;658295460;1.4.2026;cpc;1,01;;55;3;5,454545;0;3,03;0;0;upmX777MU;4260557423363;1,01
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;658280161;1.4.2026;cpc;0,31;;53;0;0;0;0;0;0;upmDZU3ZG;4260557422854;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Iperico + Passiflora BIO;649077470;1.4.2026;cpc;0,31;;53;1;1,886792;0;0,31;0;0;upmYMX3D7;4260557421147;0,31
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;620530762;1.4.2026;cpc;1,51;;53;0;0;0;0;0;0;upmK3CG99;4260557422656;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cumino Nero BIO;658352477;1.4.2026;cpc;0,51;;52;1;1,923077;0;0,51;0;0;upmEUZ9F7;4260557421376;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;626442372;1.4.2026;cpc;1,51;;52;2;3,846154;0;3,02;0;0;upmKAXT9Y;4260557422915;1,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo Plus;649082840;1.4.2026;cpc;0,31;;51;0;0;0;0;0;0;upmD3U322;4260557421192;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;1.4.2026;cpc;1,01;;51;0;0;0;0;0;0;14250953;4260557420249;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Oregano ?l BIO;643093284;1.4.2026;cpc;0,51;;51;0;0;0;0;0;0;upmYCXAL7;4260557421932;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo BIO;649140865;1.4.2026;cpc;0,31;;51;0;0;0;0;0;0;upmDZU3ZG;4260557422854;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);658280014;1.4.2026;cpc;0,51;;53;0;0;0;0;0;0;upmUEXHE2;4260557420850;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649143283;1.4.2026;cpc;0,31;;51;1;1,960784;0;0,31;0;0;upm2FC2LC;4260557422885;0,31
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445102;1.4.2026;cpc;0,31;;50;2;4;0;0,62;0;0;14250953;4260557420249;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Iodio naturale BIO;658445105;1.4.2026;cpc;1,01;;49;0;0;0;0;0;0;14250769;4260557420256;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;1.4.2026;cpc;0,51;;49;2;4,081633;0;1,02;0;0;upmD3U322;4260557421192;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;625778996;1.4.2026;cpc;0,81;;49;1;2,040816;0;0,81;0;0;upmEUZ9F7;4260557421376;0,81
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;620538813;1.4.2026;cpc;1,51;;49;0;0;0;0;0;0;upmKAXT9Y;4260557422915;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Serenity Complex;641646664;1.4.2026;cpc;0,51;;48;2;4,166667;0;1,02;0;0;upmZFGPHR;4260557422830;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334266;1.4.2026;cpc;0,51;;48;0;0;0;0;0;0;14251102;4260557420027;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen ?l;658291480;1.4.2026;cpc;0,61;;48;0;0;0;0;0;0;upm7DM474;4260557423448;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelina;620571075;1.4.2026;cpc;0,51;;47;2;4,255319;0;1,02;0;0;upm43HM34;4260557421130;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;619682540;1.4.2026;cpc;0,91;;47;1;2,12766;0;0,91;0;0;upm4ZWYPF;4260557420980;0,91
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ginkgo + Ginseng;649102509;1.4.2026;cpc;0,31;;46;0;0;0;0;0;0;upmF3XUHA;4260557422106;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Natural Jod BIO;619661620;1.4.2026;cpc;0,51;;46;0;0;0;0;0;0;14250769;4260557420256;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;620501459;1.4.2026;cpc;0,51;;47;1;2,173913;0;0,51;0;0;upm7C9XR2;4260557420836;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Biancospino BIO;649076903;1.4.2026;cpc;0,31;;45;0;0;0;0;0;0;upmXW7KXD;4260557420720;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio Complex;658381392;1.4.2026;cpc;0,3;;45;0;0;0;0;0;0;14250640;4260309482747;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera + Tribulus + Zinco;649108075;1.4.2026;cpc;0,31;;45;1;2,222222;0;0,31;0;0;upmEK72LX;4260557422434;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;649088044;1.4.2026;cpc;0,31;;45;0;0;0;0;0;0;upmHHT433;4260557421390;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620605197;1.4.2026;cpc;0,51;;45;1;2,222222;0;0,51;0;0;upmGPMUEM;4260557422427;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Bergamotto;649114367;1.4.2026;cpc;0,31;;44;1;2,272727;0;0,31;0;0;upmRKUZYE;4260557422557;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;658280090;1.4.2026;cpc;0,71;;44;2;4,545455;0;1,42;0;0;upm2HFKPC;4260557422021;0,71
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen;658282829;1.4.2026;cpc;0,31;;44;2;4,545455;0;0,62;0;0;upmGAZP3H;4260557423189;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;643082833;1.4.2026;cpc;0,31;;44;0;0;0;0;0;0;14251036;4260557420102;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;627014864;1.4.2026;cpc;0,51;;44;0;0;0;0;0;0;14250605;4260557420201;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;629496626;1.4.2026;cpc;1,21;;44;4;9,302326;0;4,84;0;0;upmUX2FW3;4260557420638;1,21
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;626443344;1.4.2026;cpc;0,51;;43;1;2,325581;0;0,51;0;0;upmDFWTTT;4260557423110;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps;658334303;1.4.2026;cpc;0,31;;43;0;0;0;0;0;0;14250611;4260309483218;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;649122256;1.4.2026;cpc;0,31;;43;1;2,325581;0;0,31;0;0;upmD23XCL;4260557422823;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;658353192;1.4.2026;cpc;0,31;;41;0;0;0;0;0;0;14250605;4260557420201;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;620565741;1.4.2026;cpc;1,21;;40;1;2,5;0;1,21;0;0;upmWCKTTE;4260309481214;1,21
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;658295889;1.4.2026;cpc;0,31;;40;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera Plus;649149549;1.4.2026;cpc;0,81;;40;0;0;0;0;0;0;upmG4PKUG;4260557423042;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;649150121;1.4.2026;cpc;0,31;;40;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM;658352467;1.4.2026;cpc;0,61;;40;1;2,5;0;0,61;0;0;upmTLUPGT;4260309483881;0,61
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Enzima della Papaya;658445112;1.4.2026;cpc;0,31;;40;1;2,5;0;0,31;0;0;14250930;4260309482648;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;649117677;1.4.2026;cpc;0,31;;39;0;0;0;0;0;0;upmK7YWLD;4260557422649;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Resveratrolo Plus;649077189;1.4.2026;cpc;0,31;;39;0;0;0;0;0;0;upmGDDD7G;4260557420805;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;643089842;1.4.2026;cpc;0,31;;39;0;0;0;0;0;0;upmYMX3D7;4260557421147;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;649151902;1.4.2026;cpc;0,31;;41;0;0;0;0;0;0;upmPHKX9F;4260557423141;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Tropfen;658280176;1.4.2026;cpc;0,31;;38;1;2,631579;0;0,31;0;0;upmYRCT9P;4260557422908;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Origano BIO;649094039;1.4.2026;cpc;0,31;;37;0;0;0;0;0;0;upmYCXAL7;4260557421932;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;620574573;1.4.2026;cpc;0,71;;37;1;2,702703;0;0,71;0;0;upm7GZX42;4260557423165;0,71
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Gummies;626443803;1.4.2026;cpc;0,51;;38;1;2,702703;0;0,51;0;0;upmGAZP3H;4260557423189;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650857;1.4.2026;cpc;0,51;;37;2;5,405405;0;1,02;0;0;upmKAXT9Y;4260557422915;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;658280044;1.4.2026;cpc;0,51;;38;0;0;0;0;0;0;upmYMX3D7;4260557421147;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;658388273;1.4.2026;cpc;0,71;;36;1;2,777778;0;0,71;0;0;14250893;4260309481115;0,71
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multi Magnesium Complex;617842636;1.4.2026;cpc;1,01;;36;4;11,111111;0;4,04;0;0;upmUZUHTT;4260557421888;1,01
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;658280093;1.4.2026;cpc;0,31;;36;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381497;1.4.2026;cpc;0,51;;37;2;5,555556;0;1,02;0;0;upmUX2FW3;4260557420638;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;658280035;1.4.2026;cpc;0,71;;36;0;0;0;0;0;0;upm4ZWYPF;4260557420980;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;658445099;1.4.2026;cpc;1,01;;35;0;0;0;0;0;0;14250812;4260557420188;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620501456;1.4.2026;cpc;0,51;;35;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;658347600;1.4.2026;cpc;0,31;;35;0;0;0;0;0;0;upmWRPTR4;4260557420867;0
