campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi;658296413;3.3.2026;cpc;0,31;;62;2;3,225806;0;0,62;0;0;14251013;4260309481665;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes Complex;649113564;3.3.2026;cpc;0,31;;62;1;1,612903;0;0,31;0;0;upmP3AFZZ;4260557422533;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;641628925;3.3.2026;cpc;0,51;;62;2;3,225806;0;1,02;0;0;upmHCULGA;4260557422755;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Bergamotto;649114367;3.3.2026;cpc;0,31;;61;0;0;0;0;0;0;upmRKUZYE;4260557422557;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prostaid Complex;658727261;3.3.2026;cpc;1,31;;61;0;0;0;0;0;0;upmCEE43U;4260557420515;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;643130229;3.3.2026;cpc;0,31;;60;1;1,666667;0;0,31;0;0;upmDZU3ZG;4260557422854;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658280004;3.3.2026;cpc;0,71;;60;1;1,666667;0;0,71;0;0;upmUX2FW3;4260557420638;0,71
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;3.3.2026;cpc;1,01;;59;0;0;0;0;0;0;14250953;4260557420249;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;658295889;3.3.2026;cpc;0,31;2;59;1;1,694915;200;0,31;43,8;14129,032258;upm2XGYDU;4260557422489;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ferro;641650716;3.3.2026;cpc;0,51;;59;1;1,694915;0;0,51;0;0;upmGAZP3H;4260557423189;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;658280090;3.3.2026;cpc;0,71;;59;0;0;0;0;0;0;upm2HFKPC;4260557422021;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;649077191;3.3.2026;cpc;0,51;;59;2;3,448276;0;1,02;0;0;upm7C9XR2;4260557420836;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Complex;620609091;3.3.2026;cpc;0,51;1;56;1;1,785714;100;0,51;49,8;9764,705882;14250640;4260309482747;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445102;3.3.2026;cpc;0,31;;55;0;0;0;0;0;0;14250953;4260557420249;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649142984;3.3.2026;cpc;0,51;;55;1;1,818182;0;0,51;0;0;upm2FC2LC;4260557422885;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334348;3.3.2026;cpc;1,21;;55;1;1,818182;0;1,21;0;0;upmK3CG99;4260557422656;1,21
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositolo in Polvere;658296224;3.3.2026;cpc;0,61;;55;0;0;0;0;0;0;upmX777MU;4260557423363;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps;658334303;3.3.2026;cpc;0,31;;54;0;0;0;0;0;0;14250611;4260309483218;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutatione Complex;649148339;3.3.2026;cpc;0,51;;54;3;5,555556;0;1,53;0;0;upmLCF24D;4260557423035;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;658388311;3.3.2026;cpc;0,31;;54;1;1,851852;0;0,31;0;0;upmF2EMKH;4260557421185;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279991;3.3.2026;cpc;0,51;;56;4;7,407407;0;2,04;0;0;upmUFEEWW;4260557420300;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;3.3.2026;cpc;0,51;;53;4;7,54717;0;2,04;0;0;upmD3U322;4260557421192;0,51
