campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381501;7.5.2026;cpc;0,51;;74;1;1,351351;0;0,51;0;0;upmD7EWMP;4260557420454;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cysti-Aid Complex;649102998;7.5.2026;cpc;0,31;;81;0;0;0;0;0;0;upmTZFCGA;4260557422199;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145075;7.5.2026;cpc;0,91;;72;2;2,777778;0;1,82;0;0;upmKAXT9Y;4260557422915;0,91
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;617842637;7.5.2026;cpc;2,11;;72;3;4,166667;0;6,33;0;0;upmX4LT4H;4260557423257;2,11
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334266;7.5.2026;cpc;0,51;;71;0;0;0;0;0;0;14251102;4260557420027;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;620501459;7.5.2026;cpc;0,51;;68;1;1,470588;0;0,51;0;0;upm7C9XR2;4260557420836;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381497;7.5.2026;cpc;0,51;;68;2;2,941176;0;1,02;0;0;upmUX2FW3;4260557420638;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;641629767;7.5.2026;cpc;0,51;;68;1;1,470588;0;0,51;0;0;upmYRCT9P;4260557422908;0,51
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620605197;7.5.2026;cpc;0,51;;67;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;620545279;7.5.2026;cpc;1,71;;66;1;1,515152;0;1,71;0;0;upm9KDWAZ;4260557421383;1,71
