campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;617842699;3.5.2026;cpc;0,51;;16;0;0;0;0;0;0;upmD23XCL;4260557422823;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280065;3.5.2026;cpc;1,11;;17;0;0;0;0;0;0;upm7FHKKZ;4260557421437;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;658347599;3.5.2026;cpc;0,51;;16;0;0;0;0;0;0;upmWRPTR4;4260557420867;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Enzima della Papaya;658445110;3.5.2026;cpc;1,01;;15;0;0;0;0;0;0;14250930;4260309482648;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;643231145;3.5.2026;cpc;1,41;;20;0;0;0;0;0;0;upmX4LT4H;4260557423257;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano;620565790;3.5.2026;cpc;1,01;;15;0;0;0;0;0;0;upmGMGWYP;4260309481979;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Boswellia Extrakt;658280140;3.5.2026;cpc;0,31;;17;0;0;0;0;0;0;upmEH2K74;4260557422588;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;658295855;3.5.2026;cpc;0,51;;15;0;0;0;0;0;0;upm7KTFPH;4260557421420;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;658347600;3.5.2026;cpc;0,31;;16;0;0;0;0;0;0;upmWRPTR4;4260557420867;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Enzima della Papaya;658445112;3.5.2026;cpc;0,31;;16;1;6,666667;0;0,31;0;0;14250930;4260309482648;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zimt Extrakt BIO;619661041;3.5.2026;cpc;0,51;;14;1;7,142857;0;0,51;0;0;upmW9KKTG;4260557422618;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658347560;3.5.2026;cpc;1,01;;14;1;7,142857;0;1,01;0;0;upmD7EWMP;4260557420454;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Purpurea;620565881;3.5.2026;cpc;0,51;;14;1;7,142857;0;0,51;0;0;upmPZPD44;4260557420133;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;641650064;3.5.2026;cpc;0,51;;14;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Zenzero BIO;658353197;3.5.2026;cpc;0,31;;15;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;620557805;3.5.2026;cpc;0,51;;14;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Boswellia Extrakt;626438065;3.5.2026;cpc;0,51;;14;1;7,142857;0;0,51;0;0;upmEH2K74;4260557422588;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Salbei BIO;658280032;3.5.2026;cpc;0,31;;17;0;0;0;0;0;0;upmMMLDZE;4260557420966;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rosskastanie Plus BIO;658295841;3.5.2026;cpc;0,51;;16;0;0;0;0;0;0;upmUR4ZK4;4260557421239;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;628844146;3.5.2026;cpc;1,31;;14;1;7,142857;0;1,31;0;0;14250893;4260309481115;1,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;658280068;3.5.2026;cpc;0,31;;16;1;7,142857;0;0,31;0;0;upm97PFY9;4260557421826;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Papaya Enzym;658280137;3.5.2026;cpc;0,31;;16;0;0;0;0;0;0;14250930;4260309482648;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Astaxanthin ?l;620605149;3.5.2026;cpc;1,01;;13;0;0;0;0;0;0;upm7GZX42;4260557423165;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ippocastano BIO Plus;620572890;3.5.2026;cpc;0,51;;13;2;15,384615;0;1,02;0;0;upmUR4ZK4;4260557421239;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;619678178;3.5.2026;cpc;0,51;;13;0;0;0;0;0;0;upmWRPTR4;4260557420867;0
