campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658353200;9.5.2026;cpc;0,61;;49;1;2,564103;0;0,61;0;0;upm7PGM77;4260557421765;0,61
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;658280160;9.5.2026;cpc;0,31;;45;0;0;0;0;0;0;upmD23XCL;4260557422823;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381501;9.5.2026;cpc;0,51;;38;2;5,263158;0;1,02;0;0;upmD7EWMP;4260557420454;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tyrosin Plus;643130826;9.5.2026;cpc;1,01;;52;0;0;0;0;0;0;upm2FC2LC;4260557422885;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Magnesium Bisglycinat;617842637;9.5.2026;cpc;2,11;;38;4;10,526316;0;8,44;0;0;upmX4LT4H;4260557423257;2,11
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen ?l;658291480;9.5.2026;cpc;0,61;;52;1;2,631579;0;0,61;0;0;upm7DM474;4260557423448;0,61
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347622;9.5.2026;cpc;1,41;;39;1;2,702703;0;1,41;0;0;upmK3CG99;4260557422656;1,41
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381499;9.5.2026;cpc;0,31;;50;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381378;9.5.2026;cpc;1,01;;36;4;11,111111;0;4,04;0;0;upmKYYZM4;4260557423486;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;9.5.2026;cpc;0,51;;35;1;2,857143;0;0,51;0;0;upmD3U322;4260557421192;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Oregano ?l BIO;643093284;9.5.2026;cpc;0,51;;37;2;5,714286;0;1,02;0;0;upmYCXAL7;4260557421932;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620567054;9.5.2026;cpc;0,51;;35;1;2,857143;0;0,51;0;0;upmTYL3Y7;4260557420737;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;620545279;9.5.2026;cpc;1,71;;34;0;0;0;0;0;0;upm9KDWAZ;4260557421383;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;658280090;9.5.2026;cpc;0,71;;41;2;6,060606;0;1,42;0;0;upm2HFKPC;4260557422021;0,71
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;649077192;9.5.2026;cpc;0,31;;39;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;9.5.2026;cpc;1,01;;32;1;3,125;0;1,01;0;0;upm2XGYDU;4260557422489;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658296353;9.5.2026;cpc;0,31;;39;0;0;0;0;0;0;upmTGWG29;4260557423479;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;643094174;9.5.2026;cpc;0,31;;36;1;3,125;0;0,31;0;0;upm2XGYDU;4260557422489;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;629496626;9.5.2026;cpc;1,21;;31;2;6,451613;0;2,42;0;0;upmUX2FW3;4260557420638;1,21
