campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Astragalus BIO;625778112;3.6.2026;cpc;1,01;;2;0;0;0;0;0;0;upmCGKMCH;4260557421222;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM;641622735;3.6.2026;cpc;1,01;;2;0;0;0;0;0;0;upmTLUPGT;4260309483881;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps sinensis BIO;620541534;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmTG77MW;4260557422991;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nattokinase;649159872;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upm2ZL4CL;4260557423264;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO NAC;643094179;3.6.2026;cpc;0,31;;5;0;0;0;0;0;0;upmMWPTCY;4260557422564;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drena Flux;649110222;3.6.2026;cpc;0,31;;3;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutamin Pulver;620565039;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmUPTFMH;4260557423233;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Psyllium BIO;658295766;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmERYMM3;4260557423295;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesium + Kalium;658279990;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upm32MART;4260557420287;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps sinensis BIO;658282808;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upmTG77MW;4260557422991;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glycin Pulver;658347520;3.6.2026;cpc;0,31;;3;0;0;0;0;0;0;upmTGWG29;4260557423479;0
