campaign;campaignId;date;conversions;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutathion Complex;620547083;8.12.2025;;68;0;0;0;0;0;0;upmLCF24D;4260557423035;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Safran Extrakt;658280000;8.12.2025;1;67;4;5,970149;1,492537;2,44;28,53;1169,262295;upm7PELE9;4260557420362;0,61
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;618496729;8.12.2025;;66;4;6,060606;0;1,2;0;0;upm97PFY9;4260557421826;0,3
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Complex;620609091;8.12.2025;;66;1;1,515152;0;0,51;0;0;14250640;4260309482747;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;629497213;8.12.2025;;66;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ferro;658331759;8.12.2025;;66;0;0;0;0;0;0;14250692;4260309483065;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Safran Extrakt;643085539;8.12.2025;;65;0;0;0;0;0;0;upm7PELE9;4260557420362;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 + K2 Depot;658295756;8.12.2025;;64;0;0;0;0;0;0;upmC2RH39;4260557423271;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin K2;658347334;8.12.2025;;63;0;0;0;0;0;0;upmFYFHAU;4260557423424;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen ?l;658291478;8.12.2025;;62;1;1,612903;0;1,01;0;0;upm7DM474;4260557423448;1,01
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;658280035;8.12.2025;;62;1;1,612903;0;0,31;0;0;upm4ZWYPF;4260557420980;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;658295889;8.12.2025;;62;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tyrosin Plus;643130826;8.12.2025;;62;0;0;0;0;0;0;upm2FC2LC;4260557422885;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;641628925;8.12.2025;;62;0;0;0;0;0;0;upmHCULGA;4260557422755;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Iperico + Passiflora BIO;649077470;8.12.2025;;61;1;1,639344;0;0,31;0;0;upmYMX3D7;4260557421147;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;658280152;8.12.2025;;61;2;3,278689;0;1,02;0;0;upmHCULGA;4260557422755;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;620605261;8.12.2025;;60;1;1,666667;0;0,51;0;0;upmDZU3ZG;4260557422854;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Glutathion Complex;643135378;8.12.2025;;60;0;0;0;0;0;0;upmLCF24D;4260557423035;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;620609038;8.12.2025;;60;1;1,666667;0;1,01;0;0;upmWCKTTE;4260309481214;1,01
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;658280012;8.12.2025;;59;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray Junior;649103717;8.12.2025;;59;1;1,694915;0;0,31;0;0;upm3RXHUC;4260557422229;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Boswellia Extrakt;626438065;8.12.2025;;59;0;0;0;0;0;0;upmEH2K74;4260557422588;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;658280106;8.12.2025;;59;0;0;0;0;0;0;upmKY422A;4260557422212;0
