campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;620612855;16.10.2025;;39;4;10,25641;0;2,04;0;0;14250692;4260309483065;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Bitartrat;658347159;16.10.2025;;39;0;0;0;0;0;0;upmU9FP9M;4260557423325;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;641622772;16.10.2025;;39;2;5,128205;0;1,02;0;0;upmGPMUEM;4260557422427;0,51
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658280057;16.10.2025;;38;3;7,894737;0;0,93;0;0;upmEUZ9F7;4260557421376;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lievito di Birra;658296221;16.10.2025;;38;1;2,631579;0;0,31;0;0;upmKUKGHH;4260557423332;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin C liposomal;658280156;16.10.2025;;38;0;0;0;0;0;0;upm77WEEP;4260557422786;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Glutatione Complex;649148781;16.10.2025;;38;0;0;0;0;0;0;upmLCF24D;4260557423035;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes Complex;649113564;16.10.2025;;38;1;2,631579;0;0,31;0;0;upmP3AFZZ;4260557422533;0,31
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesium + Kalium;643084952;16.10.2025;1;37;1;2,702703;2,702703;0,31;20,9;6741,935484;upm32MART;4260557420287;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;649117677;16.10.2025;;37;0;0;0;0;0;0;upmK7YWLD;4260557422649;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;643093628;16.10.2025;;37;1;2,702703;0;0,31;0;0;upmKU4FAU;4260557422038;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;658295906;16.10.2025;;37;0;0;0;0;0;0;upmE39PTR;4260557422113;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;658280012;16.10.2025;;36;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Brewers Yeast;658295768;16.10.2025;;36;0;0;0;0;0;0;upmKUKGHH;4260557423332;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;643092356;16.10.2025;;36;2;5,555556;0;0,62;0;0;upmHHT433;4260557421390;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Guggul;649077297;16.10.2025;;36;0;0;0;0;0;0;upmT99EZK;4260557421123;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;658280035;16.10.2025;;36;0;0;0;0;0;0;upm4ZWYPF;4260557420980;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Pulver;658283026;16.10.2025;;36;2;5,555556;0;1,02;0;0;upmX777MU;4260557423363;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Safran Extrakt;643085539;16.10.2025;;35;0;0;0;0;0;0;upm7PELE9;4260557420362;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beifu? Extrakt;658280102;16.10.2025;;35;0;0;0;0;0;0;upmWMGCRY;4260557422090;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Iperico + Passiflora BIO;649077470;16.10.2025;;35;0;0;0;0;0;0;upmYMX3D7;4260557421147;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;643094141;16.10.2025;;35;1;2,857143;0;0,31;0;0;upmGPMUEM;4260557422427;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Shilajit Mumijo;658280062;16.10.2025;1;35;0;0;2,857143;0;27,9;0;upmR33A3P;4260557421406;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;642560128;16.10.2025;;35;0;0;0;0;0;0;14250893;4260309481115;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saccharomyces boulardii;649095108;16.10.2025;;35;1;2,857143;0;0,31;0;0;upmWDER3T;4260557421949;0,31
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;658280046;16.10.2025;;34;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
