campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Triptofano;658352472;24.2.2026;cpc;0,51;;16;3;18,75;0;1,53;0;0;14250841;4260309481108;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;641629249;24.2.2026;cpc;0,51;;16;4;25;0;2,04;0;0;upmD23XCL;4260557422823;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649091298;24.2.2026;cpc;0,91;;16;0;0;0;0;0;0;upm7FHKKZ;4260557421437;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347622;24.2.2026;cpc;1,31;;15;1;6,666667;0;1,31;0;0;upmK3CG99;4260557422656;1,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Griffonia;658283048;24.2.2026;cpc;1,11;;15;0;0;0;0;0;0;upmG7RZLC;4260557423318;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;619678178;24.2.2026;cpc;0,51;;15;0;0;0;0;0;0;upmWRPTR4;4260557420867;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Bitartrat;658347159;24.2.2026;cpc;0,31;;15;1;6,666667;0;0,31;0;0;upmU9FP9M;4260557423325;0,31
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347624;24.2.2026;cpc;1,21;;15;0;0;0;0;0;0;upmK3CG99;4260557422656;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Igname Selvatico +  Zinco;658353187;24.2.2026;cpc;0,51;;15;1;6,666667;0;0,51;0;0;14251183;4260309481672;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;643233340;24.2.2026;cpc;0,31;;15;0;0;0;0;0;0;upmWCKTTE;4260309481214;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tyrosin Plus;643130826;24.2.2026;cpc;0,71;;15;1;6,666667;0;0,71;0;0;upm2FC2LC;4260557422885;0,71
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;643084947;24.2.2026;cpc;0,31;;15;0;0;0;0;0;0;14250812;4260557420188;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Curcuma BIO;641629765;24.2.2026;cpc;0,51;;15;1;6,666667;0;0,51;0;0;upm27X4XW;4260557422878;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps Extrakt;658347645;24.2.2026;cpc;0,51;;15;0;0;0;0;0;0;14250611;4260309483218;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zafferano;620566163;24.2.2026;cpc;1,01;1;15;2;13,333333;50;2,02;27,9;1381,188119;upm7PELE9;4260557420362;1,01
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;620605261;24.2.2026;cpc;0,51;;15;1;6,666667;0;0,51;0;0;upmDZU3ZG;4260557422854;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B Plus;619721747;24.2.2026;cpc;0,51;;15;0;0;0;0;0;0;14251094;4260309482754;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 + K2 Depot;658295755;24.2.2026;cpc;0,51;;15;0;0;0;0;0;0;upmC2RH39;4260557423271;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;620605271;24.2.2026;cpc;0,51;;15;0;0;0;0;0;0;upmD3U322;4260557421192;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hyaluronsaeure;643052336;24.2.2026;cpc;0,31;;15;0;0;0;0;0;0;upmKMAH3F;4260557420539;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Cherry;620611413;24.2.2026;cpc;0,51;;15;1;6,666667;0;0,51;0;0;14251102;4260557420027;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;620572633;24.2.2026;cpc;1,01;;15;0;0;0;0;0;0;upmF2EMKH;4260557421185;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280065;24.2.2026;cpc;0,91;;14;0;0;0;0;0;0;upm7FHKKZ;4260557421437;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;649102895;24.2.2026;cpc;1,01;;14;0;0;0;0;0;0;upmE39PTR;NOT_FOUND;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Brennnessel BIO;643089721;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;upm9RX43T;4260557421031;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Plus;620605317;24.2.2026;cpc;0,51;;14;2;14,285714;0;1,02;0;0;14251148;4260309482778;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Plus;626438649;24.2.2026;cpc;0,51;;14;0;0;0;0;0;0;upmTF7MFK;4260557422625;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Zenzero BIO;658353197;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;629497502;24.2.2026;cpc;1,31;;14;2;14,285714;0;2,62;0;0;upmKY422A;4260557422212;1,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps Extrakt;658347646;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;14250611;4260309483218;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;620530762;24.2.2026;cpc;1,31;;14;1;7,142857;0;1,31;0;0;upmK3CG99;4260557422656;1,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;643085982;24.2.2026;cpc;0,71;;14;1;7,142857;0;0,71;0;0;upmUX2FW3;4260557420638;0,71
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Pro Bio Kulturenkomplex;643080114;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;14250976;4260557420034;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Zimt-Ceylon Extrakt;658279983;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;14251208;4260557420164;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;658280105;24.2.2026;cpc;1,51;;14;1;7,142857;0;1,51;0;0;upmKY422A;4260557422212;1,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bergamotto;641624106;24.2.2026;cpc;0,51;;14;0;0;0;0;0;0;upmRKUZYE;4260557422557;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO NAC;643094179;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;upmMWPTCY;4260557422564;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;643136807;24.2.2026;cpc;0,31;;14;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;652854756;24.2.2026;cpc;0,91;;14;1;7,142857;0;0,91;0;0;upm7FHKKZ;4260557421437;0,91
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;617842699;24.2.2026;cpc;0,51;;14;1;7,692308;0;0,51;0;0;upmD23XCL;4260557422823;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;643094026;24.2.2026;cpc;0,71;;13;0;0;0;0;0;0;upmMPKDE7;4260557422311;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Kudzu Plus;658280055;24.2.2026;cpc;0,51;;13;1;7,692308;0;0,51;0;0;upmRLD9ZM;4260557421314;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps Sinensis BIO;626451122;24.2.2026;cpc;0,51;;13;2;15,384615;0;1,02;0;0;upmTG77MW;4260557422991;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rosskastanie Plus BIO;619708788;24.2.2026;cpc;1,21;;13;0;0;0;0;0;0;upmUR4ZK4;4260557421239;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;618496719;24.2.2026;cpc;1,11;;14;0;0;0;0;0;0;upmE39PTR;NOT_FOUND;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vision Care Complex;658347599;24.2.2026;cpc;0,51;;14;2;15,384615;0;1,02;0;0;upmWRPTR4;4260557420867;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitaminico e Multiminerale;658334305;24.2.2026;cpc;0,51;;13;3;23,076923;0;1,53;0;0;14251148;4260309482778;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Salbei BIO;643089690;24.2.2026;cpc;0,31;;13;0;0;0;0;0;0;upmMMLDZE;4260557420966;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;653775300;24.2.2026;cpc;0,91;;14;1;7,692308;0;0,91;0;0;upmMPKDE7;4260557422311;0,91
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;658280067;24.2.2026;cpc;1,01;;13;1;7,692308;0;1,01;0;0;upm97PFY9;4260557421826;1,01
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hyaluronsaeure;643078405;24.2.2026;cpc;0,31;;13;0;0;0;0;0;0;upmPMLEP9;4260557423103;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mariendistel Plus;652868608;24.2.2026;cpc;0,31;;13;1;7,692308;0;0,31;0;0;upmR9H2HU;4260557422892;0,31
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347624;24.2.2026;cpc;1,01;;13;0;0;0;0;0;0;upmK3CG99;4260557422656;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Acido Ialuronico;649164412;24.2.2026;cpc;0,31;;13;0;0;0;0;0;0;upmKMAH3F;4260557420539;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutamin Pulver;620565039;24.2.2026;cpc;0,51;;13;0;0;0;0;0;0;upmUPTFMH;4260557423233;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Chrom Plus;658280180;24.2.2026;cpc;0,31;;12;1;8,333333;0;0,31;0;0;upmL7ZDD2;4260557422946;0,31
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tyrosin Plus;620537391;24.2.2026;cpc;1,41;;14;0;0;0;0;0;0;upm2FC2LC;4260557422885;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colina Bitartrato;658296216;24.2.2026;cpc;0,31;;12;0;0;0;0;0;0;upmU9FP9M;4260557423325;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Wild Yams + Zink;658279949;24.2.2026;cpc;0,31;;12;0;0;0;0;0;0;14251183;4260309481672;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;658280095;24.2.2026;cpc;0,31;;12;0;0;0;0;0;0;upm4XDXPR;4260557422045;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Hyaluronsaeure;620609033;24.2.2026;cpc;0,51;;12;2;16,666667;0;1,02;0;0;upmKMAH3F;4260557420539;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nattokinase;643231278;24.2.2026;cpc;0,31;;12;0;0;0;0;0;0;upm2ZL4CL;4260557423264;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Folat;620502829;24.2.2026;cpc;0,51;;12;0;0;0;0;0;0;upmZR3PP7;4260557422496;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chlorella BIO + Spirulina BIO;620611807;24.2.2026;cpc;0,51;;12;1;8,333333;0;0,51;0;0;14250597;4260309484185;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;628844146;24.2.2026;cpc;1,11;;12;1;8,333333;0;1,11;0;0;14250893;4260309481115;1,11
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;658280058;24.2.2026;cpc;0,91;;12;0;0;0;0;0;0;upm9KDWAZ;4260557421383;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prostaid Complex;658727269;24.2.2026;cpc;1,11;;12;0;0;0;0;0;0;upmCEE43U;4260557420515;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zimt-Ceylon Extrakt;619660976;24.2.2026;cpc;0,51;;12;0;0;0;0;0;0;14251208;4260557420164;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Reflu-X Complex;619682540;24.2.2026;cpc;0,51;;12;0;0;0;0;0;0;upm4ZWYPF;4260557420980;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps sinensis BIO;658295815;24.2.2026;cpc;0,31;;12;0;0;0;0;0;0;upmTG77MW;4260557422991;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658295946;24.2.2026;cpc;0,51;;12;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Hericium BIO;620567779;24.2.2026;cpc;0,51;;12;1;8,333333;0;0,51;0;0;upmMERCUR;4260557420881;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucomannan BIO;658347634;24.2.2026;cpc;0,51;;12;0;0;0;0;0;0;upmLXEUT7;4260557423240;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347591;24.2.2026;cpc;1,01;;12;0;0;0;0;0;0;upmK3CG99;4260557422656;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin C BIO aus Acerola;643085309;24.2.2026;cpc;0,31;;11;0;0;0;0;0;0;upmFY9KW9;4260557420331;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;658280106;24.2.2026;cpc;1,11;;11;0;0;0;0;0;0;upmKY422A;4260557422212;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hericium BIO;658280019;24.2.2026;cpc;0,31;;11;0;0;0;0;0;0;upmMERCUR;4260557420881;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;620605162;24.2.2026;cpc;0,61;;11;2;18,181818;0;1,22;0;0;upm2HFKPC;4260557422021;0,61
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO EAA - Aminoacidi Essenziali;620567252;24.2.2026;cpc;1,01;;11;0;0;0;0;0;0;upmGMXXY9;4260557420744;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;641643600;24.2.2026;cpc;0,51;;11;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Youth Biotics;658445045;24.2.2026;cpc;1,01;;11;0;0;0;0;0;0;upmW7Y7DL;4260557423462;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Knoblauch Plus;658280151;24.2.2026;cpc;0,31;;11;0;0;0;0;0;0;upm2WRLPU;4260557422632;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Keto Power;658283043;24.2.2026;cpc;0,31;;11;0;0;0;0;0;0;upmP77L3M;4260557423288;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;625789014;24.2.2026;cpc;0,51;;11;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
